homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Plitvica;Zadrugar;1;1;01.11.2025;200
Zelengaj;Mladost SL;0;1;01.11.2025;130
Drava;Beretinec;2;2;01.11.2025;50
Mladost VT;Dubravka;1;1;02.11.2025;80
Semovec;Sloboda;3;2;02.11.2025;80
Obres;Nova Ves;0;2;02.11.2025;150
