homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Plitvica;Sloboda;2;3;30.8.2025;90
Zelengaj;Nova Ves;0;0;30.8.2025;120
Beretinec;Mladost SL;1;1;30.8.2025;120
Dubravka;Semovec;0;1;31.8.2025;120
Obres;Mladost VT;3;2;31.8.2025;120
Drava;Zadrugar;1;4;31.8.2025;250
