homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Plitvica;Mladost VT;5;0;22.11.2025;50
Zelengaj;Sloboda;4;1;29.11.2025;80
Obres;Semovec;0;3;29.11.2025;70
Dubravka;Mladost SL;0;0;30.11.2025;70
Beretinec;Zadrugar;2;1;30.11.2025;100
Drava;Nova Ves;2;0;30.11.2025;140
