homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Plitvica;Semovec;2;2;13.9.2025;80
Zelengaj;Mladost VT;2;2;13.9.2025;80
Mladost SL;Zadrugar;2;2;13.9.2025;150
Dubravka;Obres;2;1;14.9.2025;90
Drava;Sloboda;2;1;14.9.2025;90
Beretinec;Nova Ves;2;1;14.9.2025;140
