homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Zadrugar;Beretinec;5;1;5.9.2025;80
Semovec;Obres;3;1;6.9.2025;100
Mladost SL;Dubravka;3;1;7.9.2025;150
Nova Ves;Drava;3;2;7.9.2025;100
Sloboda;Zelengaj;1;4;7.9.2025;100
Mladost VT;Plitvica;3;1;7.9.2025;150
