homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Plitvica;Zelengaj;0;4;04.10.2025;125
Nova Ves;Dubravka;1;1;05.10.2025;75
Sloboda;Zadrugar;2;2;05.10.2025;40
Mladost VT;Mladost SL;2;1;05.10.2025;100
Semovec;Beretinec;4;5;05.10.2025;100
Obres;Drava;0;2;05.10.2025;80
