homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Sloboda;Mladost VT;3;3;25.10.2025;100
Dubravka;Drava;0;0;26.10.2025;50
Beretinec;Zelengaj;1;2;26.10.2025;150
Mladost SL;Plitvica;5;2;26.10.2025;100
Zadrugar;Obres;0;2;26.10.2025;80
Nova Ves;Semovec;3;0;26.10.2025;100
