homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Zelengaj;Zadrugar;1;2;08.11.2025;150
Plitvica;Nova Ves;1;1;08.11.2025;100
Semovec;Mladost VT;1;0;08.11.2025;70
Dubravka;Beretinec;5;0;09.11.2025;130
Drava;Mladost SL;1;4;09.11.2025;200
Obres;Sloboda;0;1;09.11.2025;150
