homeTeam;awayTeam;homeScore;awayScore;dateOfMatch;attendance
Mladost SL;Beretinec;6;2;15.11.2025;80
Semovec;Dubravka;1;2;16.11.2025;90
Mladost VT;Obres;1;1;16.11.2025;100
Sloboda;Plitvica;0;1;16.11.2025;100
Nova Ves;Zelengaj;0;1;16.11.2025;155
Zadrugar;Drava;2;1;16.11.2025;180
